draws,first_name,height,last_name,losses,reach,stance,url,weight,wins,fighter_id,SApM,SLpM,Str. Acc.,Str. Def,Sub. Avg.,TD Acc.,TD Avg.,TD Def.
0,Kelly,"5' 9""",Velasco,1,--,Orthodox,93c9897f0f9f5dab,135 lbs.,2,1712,5.67,2.27,35%,47%,0.0,0%,0.00,100%
1,Ryan,"5' 11""",McGillivray,5,--,,1f9c371c93dfd3a9,170 lbs.,11,1713,2.20,1.27,20%,52%,0.0,0%,0.00,44%
0,Ryan,"6' 0""",McGivern,7,--,Orthodox,856ec65948b7d234,185 lbs.,13,1714,2.22,2.22,29%,57%,0.0,0%,0.00,0%
0,Jack,--,McGlaughlin,4,--,Orthodox,237187ed9f419285,--,1,1715,0.00,0.00,0%,0%,0.0,0%,0.00,0%
0,Conor,"5' 9""",McGregor,3,"74.0""",Southpaw,f4c49976c75c5ab2,170 lbs.,21,1716,4.55,5.82,47%,57%,0.0,62%,0.92,73%
0,Greg,"5' 10""",McIntyre,4,--,Orthodox,00a905a4a4a2b071,155 lbs.,6,1717,1.36,0.79,30%,41%,0.0,50%,5.09,0%
2,Antonio,"5' 8""",McKee,5,--,Southpaw,3414b50b08a10600,155 lbs.,26,1718,0.74,1.37,45%,74%,0.0,33%,1.47,57%
0,AJ,"5' 10""",McKee,0,--,,f3ec0214794a699e,145 lbs.,8,1719,0.92,2.75,32%,80%,11.0,100%,11.01,100%
0,Tim,"6' 0""",McKenzie,8,"74.0""",Orthodox,9ca265dfe8323db3,185 lbs.,13,1720,2.96,1.37,54%,44%,2.1,0%,0.00,28%
0,Cody,"6' 0""",McKenzie,4,"72.0""",Switch,7be63795363029e8,155 lbs.,14,1721,2.50,1.74,34%,67%,2.5,25%,2.50,14%
0,Brian,"5' 9""",McLaughlin,2,--,,6488729da7ac1c79,155 lbs.,6,1722,0.00,0.00,0%,0%,0.0,0%,0.00,0%
0,Jason,"5' 5""",McLean,4,--,,8336d7a85ce45481,145 lbs.,6,1723,0.00,0.00,0%,0%,0.0,0%,0.00,0%
0,Garreth,"6' 1""",McLellan,6,"72.0""",Southpaw,f215cfbd4ba3c270,185 lbs.,13,1724,2.94,3.56,54%,45%,0.9,22%,1.15,34%
